자치구,남자,여자,계
종로구,74018,79666,153684
중구,63869,67581,131450
용산구,114571,121947,236518
성동구,141662,149947,291609
광진구,169525,183585,353110
동대문구,172318,180274,352592
중랑구,193623,199977,393600
성북구,212277,230403,442680
강북구,145934,154890,300824
도봉구,154440,163660,318100
노원구,247417,267028,514445
은평구,227172,248841,476013
서대문구,149805,167270,317075
마포구,176886,201743,378629
양천구,219882,229496,449378
강서구,277797,300629,578426
구로구,208027,211957,419984
금천구,123959,120942,244901
영등포구,198080,202161,400241
동작구,190377,204272,394649
관악구,250450,249886,500336
서초구,197665,216012,413677
강남구,257096,280242,537338
송파구,321963,346298,668261
강동구,227891,237206,465097
